no,Nama Perusahaan,Alamat,Telepon,website,Komoditi,Bidang Usaha
8589,Abadikokoh Insani,"Jl. Otto Iskandardinata Raya No.19, Jakarta Timur, DKI Jakarta",,,"Oth Non-aerated Beverage Ready For Immediate Consu
Radiator Panel,flat Tube Radiator Assemb For
Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or","Oth non-aerated beverage ready for immediate consu
Radiator Panel,flat Tube Radiator Assemb For
Hyd Brake Fluid&oth For Hyd Trnsmssion Whether Or"
8590,"Abadinusa Usahasemesta, PT","Jl. Raden Saleh No. 45g, Cikini, Jakarta Pusat, DKI Jakarta",0213101826,www.abadinusa.co.id,"Oth Instruments&app Oth Than Exposure Meters,elect","Oth instruments&app oth than exposure meters,elect"
8591,"Abaisiat Raya, PT","Jl. Hos Cokroaminoto No.88 C, Padang, Sumatera Barat",075121228,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
8592,"Abb Sakti Industri, PT","Jl. Jend.sudirman Kav.10-11 Mid Plaza I Lt.10, Jakarta Selatan, DKI Jakarta",02125515566,,"Oth Board For Elect. Control For Voltage > 1000 Vo
Oth Part Of Electric Switch,socket&plug, <= 1000v
Oth Mach For Assembling Cpu Daughter Board In","Oth board for elect. control for voltage > 1000 vo
Oth Part Of Electric Switch,socket&plug, <= 1000v
Oth Mach For Assembling Cpu Daughter Board In"
8593,"Abbaliving Indonesia, CV","Jl. Sutan Syahrir Rt 001 Rw 007 Kel. Setabelan Kec. Banjarsari, Surakarta, Jawa Tengah",02717939996,abbaliving.com,Other Worked Mother-of Pearl/tortoise- Shell & Art,Other worked mother-of pearl/tortoise- shell & art
8594,"Abbott Indonesia, PT","Jl. Gatot Subroto Kav.38 Jamsostek Tower 23rd Flr, North Tower, Jakarta Selatan, DKI Jakarta",02127587889,abbott.co.id,"Oth Medicament Cont Vitamin (oth Than A, B,c) Or O
Oth Medicaments Cont Erythromycin/derive ,oth For","Oth medicament cont vitamin (oth than A, B,C) or o
Oth Medicaments Cont Erythromycin/derive ,oth For"
8595,"Abc President Indonesia, PT","Rukan Artha Gading Niaga Blok A No.32-34, Jakarta Utara, DKI Jakarta",0214535877,www.abcpresident.com,"Uncooked Pasta, Not Stuffed/otherwise Prepared, No
Oth Pasta, Oth Instant Noodles
Oth Mixed Condiments And Mixed Seasonings,","Uncooked pasta, not stuffed/otherwise prepared, no
Oth Pasta, Oth Instant Noodles
Oth Mixed Condiments And Mixed Seasonings,"
8596,Abd Sejahtera,"Ki Gede Mayung Blok Iii Rt/rw 001/003,kabupaten, Cirebon Cirebon, Jawa Barat",0231242574,,"Basketwork, Wickerwork & Other Articles,  Of Veget
Seat Of Rattan
Bedroom, Dining Room Or Living Room Sets Of Rattan","Basketwork, wickerwork & other articles,  of veget
Seat Of Rattan
Bedroom, Dining Room Or Living Room Sets Of Rattan"
8597,"Abdalta Indonesia, CV","Jl. Antasan Kecil Barat Rt.028 Rw.006 No.153 Pasar Lama, Banjarmasin, Kalimantan Selatan",05113357822,,"Oth Plants&parts Of Plants, Not For Pharmacy, Not","Oth plants&parts of plants, not for pharmacy, not"
8598,"Abdhilah Jaya Sentosa, PT","Jl. Muteran Iv/23-a, Surabaya, Jawa Timur",,,"Gracilaria Lichenoides,fresh,chilled, Frozen,dried","Gracilaria lichenoides,fresh,chilled, frozen,dried"
8599,"Abdi Andalan Abadi Jaya, PT","Jl. Kh. A. Dahlan No. 16 Pahoman, Bandar Lampung, Lampung",0721256535,,"Oth Than Wood Charcoal(including Shell  Or Nut Cha
Ginger, Neither Crushed Nor Ground","Oth than wood charcoal(including shell  or nut cha
Ginger, Neither Crushed Nor Ground"
8600,"Abdi Bayumurni Abadi, PT","Jl. Peta Utara 3 No.48a Pegadungan, Kalideres, Jakarta Barat, DKI Jakarta",02154373594,,Oth Parts Of Goods Of Subheading 8421.21.11/8421.2,Oth parts of goods of subheading 8421.21.11/8421.2
8601,"(hhbk) Indo Incent Product (iip), PT","Jl. Husein Hamzah No 6, Mempawah, Kalimantan Barat",05617905452,,"Agarwood (gaharu) Chips, Fresh/dried","Agarwood (gaharu) chips, fresh/dried"
8602,"3m Indonesia Importama, PT","Perkantoran Hijau Arkadia Tower F Lt. 9 Jl. Letjen. Tb. Simatupang Kav.8, Jakarta Selatan, DKI Jakarta",,www.3M.com,"Self-adhesive Plate,sheet,film,foil,tape &strip,wi
Self-adhesive Plate,sheet,film,foil,tape
Natural/artificial Abrasive Powder/grain On A","Self-adhesive plate,sheet,film,foil,tape &strip,wi
Self-adhesive Plate,sheet,film,foil,tape
Natural/artificial Abrasive Powder/grain On A"
8603,"3m Indonesia, PT","Jl. Jend Sudirman Kav.25 Plaza Dm Lt.5 Karet-setia Budi, Jakarta Selatan, DKI Jakarta",02178832172,www.3m.com,"Wadding Of Cotton M-m-f Of Oth Wrapped Cigarette T
Self-adhesive Plate,sheet,film,foil,tape","Wadding of cotton m-m-f of oth wrapped cigarette t
Self-adhesive Plate,sheet,film,foil,tape"
8604,7seven,"Jl. Lingkar Pecangaan Rt 010 Rw 002, Jepara, Jawa Tengah",02917510011,,"Oth Wooden Furniture,oth Than Fume Cupboard
Oth Seats,with Wooden Frames,combined With Other
Seat Of Cane,osier Or Similar Material","Oth wooden furniture,oth than fume cupboard
Oth Seats,with Wooden Frames,combined With Other
Seat Of Cane,osier Or Similar Material"
8605,"8 Jaya, Tk.","Terminal Kefa, Belu, Nusa Tenggara Timur",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti
Other Toys Or Parts
Refri-frez,fitt With Separate External","Females blouses/shirts/shirt blouses of oth texti
Other Toys Or Parts
Refri-frez,fitt With Separate External"
8606,"9 Jaya, Tk.","Terminal - Kefa Ttu, Timor Tengah Utara, Nusa Tenggara Timur",,,"Sparkling Mineral Waters And Aerated Waters, Flavo
Oth Of Felt Or Nonwovens, Impregnated, Coated Or
Uncooked Pasta, Not Stuffed/otherwise Prepared,","Sparkling mineral waters and aerated waters, flavo
Oth Of Felt Or Nonwovens, Impregnated, Coated Or
Uncooked Pasta, Not Stuffed/otherwise Prepared,"
8607,"A & A Enterprise Resources, CV","Jl. Teuku Umar 2 Rt 001 Rw.003 Kemayoran, Jakarta Pusat, DKI Jakarta",,,"Oth Pasta, Oth Instant Noodles
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Than Kerupuk Of Shrimps","Oth pasta, oth instant noodles
Oth Ceramic Articles Of Oth Than Porcelain/china
Oth Than Kerupuk Of Shrimps"
8608,"A & One Precision Engineering, PT","Lot Sd-62, Bie Lobam, Pulau Bintan, Bintan, Kepulauan Riau",0770696190,www.a-oneprecision.com,"Other Mounting ; Oth Than Of A Kind Suitable For S
Hasps
Oth Base Metal Mountings, Fitting & Similar","Other mounting ; oth than of a kind suitable for s
Hasps
Oth Base Metal Mountings, Fitting & Similar"
8609,"A & P Industry Indonesia, PT","Jl. Jababeka Vi Blk J No.5a Kaw.industri Jababeka Cikarang Utara, Bekasi, Jawa Barat",02189836134,,Oth Parts & Acces Suitable For Machines Other Head,Oth parts & acces suitable for machines other head
8610,A Amin Furniture,"Ds. Mambak Rt.03/04, Jepara, Jawa Tengah",02914270220,www.aminfurniture.com,"Oth Wooden Furniture,oth Than Fume Cupboard
Other Furniture Of Cane, Osier, Bamboo Or Similar","Oth wooden furniture,oth than fume cupboard
Other Furniture Of Cane, Osier, Bamboo Or Similar"
8611,"A Class, CV","Jl. Parang Parung Ii No. I Rt. 03 / Vi Sondokan, Surakarta, Jawa Tengah",0271735092,www.aclass-furniture.com,"Other Furniture Of Cane, Osier, Bamboo Or Similar
Oth Wooden Furniture,oth Than Fume Cupboard","Other furniture of cane, osier, bamboo or similar
Oth Wooden Furniture,oth Than Fume Cupboard"
8612,"A F R A, CV","Btn Surya Graha Lestari, Blok N/2, Desa. Dauh Peken, Tabanan, Bali",,,Oth Wood Charcoal(including Shell   Or Nut Charcoa,Oth wood charcoal(including shell   or nut charcoa
8613,"A L A A, PT","Jl. Dharmahusada Mas Blok Ad 09, Surabaya, Jawa Timur",,,"Oth Sugar Confectionery,not Cont.cocoa, Oth Soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce","Oth sugar confectionery,not cont.cocoa, oth soft,c
Oth Having Anti-fungai Shampoo
Fish Sauce"
8614,"A Plus Global Coal, PT","Jl Kedungmundu Raya No 100, Semarang, Jawa Tengah",,www.aplusglobalcoal.com,Oth Than Wood Charcoal(including Shell  Or Nut Cha,Oth than wood charcoal(including shell  or nut cha
8615,"A&k Door Indonesia, PT","Jl. M.h. Thamrin 57 Permata Plaza 11th 1107, Jakarta Pusat, DKI Jakarta",0267646640,,Doors & Their Frames & Thresholds Of Wood,Doors & their frames & thresholds of wood
8616,"A&one Precision Enginering, PT","Jl. Lot Sd-62, Bie Lobam- P.bintan, Bintan, Kepulauan Riau",,,Other Mounting ; Oth Than Of A Kind Suitable For S,Other mounting ; oth than of a kind suitable for s
8617,"A. A, Ud.","Jl. Medan-b, Gampong Jalan, Idi Rayeuk 24454, Aceh Timur, Nanggroe Aceh Darussalam",064621128,,"Areca Nuts, Whether/not Shelled/peeled, Fresh Or D
Ginger, Neither Crushed Nor Ground","Areca nuts, whether/not shelled/peeled, fresh or d
Ginger, Neither Crushed Nor Ground"
8618,"A. Schulman Plastics, PT","Desa Ngerong Km. 39 Gempol, Pasuruan, Gorontalo",0343854238,www.aschulman.com,"Polypropylene In Granule Form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule","Polypropylene in granule form
Oth Linier Low Density Polyethylene In The Form
Propylene Copolymers In Granule"
8619,"A. Surya Sejahtera Abadi, CV","Jl Mayjen Sungkono Rt 02 Rw 02, Malang, Jawa Timur",,,Oth Manufactured Tobacco For The Manufacture Of Ci,Oth manufactured tobacco for the manufacture of ci
8620,"A.n. Jaya, CV","Jl. Ikan Mungisng V/09, Surabaya, Jawa Timur",0313281118,,"Other Fish, Not Marine Fish, Excl.fillets, Livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby","Other fish, not marine fish, excl.fillets, livers
Savalai Hairtails, Excl.fillets, Livers And Roes,
Furniture Of Plastics Oth Than For Baby"
8621,"A.w Faber-castell Indonesia, PT","Jl. Raya Narogong Pangkalan Ib Bantargebang, Bekasi, Jawa Barat",0218250752,www.faber-castell.co.id,"Crayons & Oth Pencils With Lead Encased In A Rigid
Black Pencils, With Lead Encased In A Rigid Sheath
Folding Cartons,boxes&cases,of Non-corru Gated","Crayons & oth pencils with lead encased in a rigid
Black Pencils, With Lead Encased In A Rigid Sheath
Folding Cartons,boxes&cases,of Non-corru Gated"
8622,A9,"Jl. Wisata Bahari No. 1 Km. 31 Rt. 002/ Rw. 002 Kawal, Bintan, Kepulauan Riau",,,"Other Marine Fish Excl.fillets, Livers And Roes, F","Other marine fish excl.fillets, livers and roes, f"
8623,"Aarti Jaya, PT","Jl. Inhoftank Komplek .jati Permai Ruko No.56, Bandung, Jawa Barat",0225232002,www.aartijaya.com,"Mens/boys Trousers, Breeches&shorts Of Oth Texti
Womens/girls Blous,shirt&shirt Blous Of Oth
Mens/boys Ovr Coats,car Coat,capes,","Mens/boys trousers, breeches&shorts of oth texti
Womens/girls Blous,shirt&shirt Blous Of Oth
Mens/boys Ovr Coats,car Coat,capes,"
